pm2_5,month,weekday,hour,wind-east,wind-north,temperature,pressure,humidity,target
28.35,1,5,10,-1.414214,-1.414214,-5.4,1002.9,89,19.15
27.81,1,5,11,-1.175571,-1.618034,-4.6,1001.6,89,19.46
28.03,1,5,12,-3.804226,-1.236068,-3.3,1000.1,91,21.45
18.89,1,5,13,-6.847033,-1.455382,-2.6,998.7,86,20.17
20.52,1,5,14,-7.794961,-1.799608,-3.8,997.9,90,22.81
16.94,1,5,15,-7.825181,-1.663294,-4.2,997.7,92,26.88
19.15,1,5,16,-6.947823,-0.853085,-4.1,997.5,89,28.17
19.46,1,5,17,-5.955277,-0.731216,-3.7,997.3,89,32.59
21.45,1,5,18,-3.506969,7.190352,-5.4,997.9,80,29.34
20.17,1,5,19,0.104714,5.999086,-6.9,998.7,79,25.84
22.81,1,5,20,-3.179516,5.088289,-8.4,999.4,81,24.36
26.88,1,5,21,-1.24747,5.868886,-9.2,1000.1,81,25.38
28.17,1,5,22,-2.816829,5.297686,-9.9,1000.7,81,24.93
